label,text
sports,"
	Being a proud BU alumnus, I'd like to get a list of BU players in 
the NHL so I can keep an eye on their progress. A lot of Terriers are
graduating this year so I hope to see them soon in the NHL. If somebody
could post or send me a list, I'd appreciate it. Please note if the player
graduated from here or not.
"
sports,"Wales Conference, Adams Division, Semifinal

I'm hoping for a Fuhr miracle, but I agree that Boston will likely win the
series.  Goaltending is about equal, top offensive players are about equal
(Mogilny-LaFontaine vs. Oates-Juneau), but Buffalo has no answer to Neely
(not to imply that Neely is not a top offensive player btw, in fact he's one
of my favourites even though he's a damn Bruin :) ).  And the rest of the
matchup wrt lineup favours Boston anyway.  But I think it will go six.


Agreed here...but Montreal will be pushed to the limit.  Is it just me, or
does everything Montreal does in the playoffs come down to Roy?  Go Habs!!

Final

I can't predict a Montreal victory because I've been watching them play for
6 weeks and IMO they severly need some tougher players, especially to play
in the Garden.  Last time they beat the B's 5-2 but Boston had a clear
territorial advantage; the victory was Roy's.  At the same time, I can't
bring myself to predict the possibility of a loss, so I'll just say I will
not be putting money on this series. :-)



Agreed.  NY doesn't have the goaltending to stop the onslaught, independent
of the trouble they have given Pittsburgh this year.  Pens in five, which is
credit to NY.


Agreed here too, but I think it will go at least six.  Jersey has a decent
team, and Washington has done poorly against the division this year.


I think they will use Tabaracci more after Beaupre gets shelled.  I don't
think it will go six either...*maybe* five.


If Pittsburgh plays Boston, IMO they win in likely five, possibly six.  They
own the Bruins.  If they play Montreal, I think it will go to seven, and once
again I won't be putting money on the seventh game.  I say seven because the
Habs have played Pittsburgh very tough this season.



Chicago will win, but I think in at least six.  Chicago is not that good,
IMO.  And remember that they take ridiculous numbers of penalties.


Very true.  The Leafs have much to be proud of, but they will soon find out
why Montreal did so lousy in the playoffs.  Toronto might win two or three 
at MLG though.  Wings in six, maybe even seven.


It _will_ be a war...possibly the most intense playoff series of them all. 
And yes, I think Detroit will win.  Probert will have to come up big though.



Our first disagreement.  Canucks are playing like shit.  They don't use their
size *at* *all*, which may explain why they get hammered 8-1 by a team
chasing them (Calgary)....Winnipeg in six.


This is also tough for me to call, because I haven't seen the Smythe enough. 
I don't think Roberts will be well enough to figure in, Coffey is a
non-issue, who cares what Carson has done before, and *never* underestimate
Gretzky.  LA in six.


If it is these two, Calgary will not need six games.  But I think it will be
LA-Winnipeg anyway, and LA in seven, because of home ice.


Wow, must've been tough to go against your team.  But let's see, I picked
LA-Detroit.  Detroit will win, probably in six.


If Pittsburgh plays Detroit, it will go longer than five, and I wouldn't bet
against the Wings.  They are very strong, IMO, and nobody knows *how* strong
because they've been underachieving most of the year.  If forced to choose,
though, I'd have to take the Penguins.

A side note.  Vlad, last week you said that Selanne was a better player than
Gilmour.  NO WAY.  He is a more talented pure goal scorer...but aside from
the age difference, there is no way I would take him over Gilmour on my team.
I'm not asking for flames, either, btw....I've spent more than enough time
arguing on behalf of Selanne and I still say he's a great player.  But while
he and Gilmour are both dangerous offensively (give Teemu an edge),
Gilmour *does* *it* *all*.  I know a lot of Gilmour-bashing goes on, esp.
from Flame fans.  But IMO you guys are letting your dislike of Gilmour cloud
your judgement when it comes to his skill.  He is easily one of the best
all-round players in the NHL."
sports,;^)
sports,"Sorry, Nelson, but you forgot to ask me. If you check the THN stats for
Kansas City, you'll find that Larry has been playing for the games, having
played in 8 games in the period covered in the stats between 3/26 and the
4/16 issue (1-3-4 with 13 PIM). Not exactly invisible.


Well, having gotten to a chance to talk to him a few times, this isn't quite
accurate. He injured his back (a disk injury) and did one stupid thing,
which was to hide it from the Sharks and he tried to play through it because
he knew he was on the bubble. The Sharks then sent him to K.C., at which
point he disclosed the injury. Since he didn't disclose it, the Sharks and
he disagreed about the responsibility and he was suspended for not
reporting. That was eventually worked out, the Sharks re-instated him as
injured and put him into therapy, and when he was able to play then shipped
him down to K.C. He fully expects to play in the NHL again, although clearly
not with the Sharks (hiding injuries is a stupid no-no, beyond just a
no-no).

Very nice guy. Always hustled his butt off. He disappeared because he was
hurt. I expect he'll surface with another team at some point (probably
another expansion team), but is likely to be a bubble player for the rest of
his career. Has a good work ethic and is good at getting other players
motivated. Unfortunately, he played himself out of the Sharks future with a
bad judgement call.




Always gave 110%, best work ethic on the club (except maybe Kisio), but
hustle isn't always enough. His future with the Sharks was made clear to me
one night against the Flames when he went behind the crease and tried to
hold Joel Otto against the board. He literally had one arm around Otto's
neck and another wrapped around Otto's stick arm. Otto casually turned
around and fed the puck in front of the crease for a goal, as though Carter
wasn't there. Hustle can only cover size so far.

The Sharks have told me, point blank, that he's gone for good (ditto HUbie
McDonough). He was one of the favorites of the staff, but as one said to me
""you have to make room for the kids"". Carter, in fact, refused to report to
K.C. and has been suspended by the Sharks. That might be a defacto
retirement, but I haven't heard anything official. His only hope in hockey
now is the Gulls.



Because, at least from the games I saw him in, he was outmatched and looked
fairly lost on the ice. I think he shows potential, but I didn't think he
was quite ready to make the jump to the NHL.


Agreed (BTW, I still think a lot of your grades are more based on how you
wish they'd performed than how they actually performed. I wonder whether you
can really judge talent from radio and television, Nelson? I know I have
trouble, since you don't see the off-puck action. your views from home and
my views from the ice differ in numerous ways)



Coffee. Coffey is with the Red Wings.



You? Nah... 

He was seriously unimpressive, even as a tough guy (his rep). However, as
few games as he had in a season that was at that point meaningless, I hate
to judge the talent too quickly. Butn in Dody's case, I""m tempted to make an
exception.

But I won't."
sports,"It is meaningless to compare one player's plus/minus statistic with
another players' out of the context of the role and the playing time
of the players involved.    

To compare Jagr's and Francis's plus/minus is ridiculous and absurd..."
sports,"We're probably stuck, as Mike Burger pointed out that the baseball
deal was made far in advance of the NHL contract.  WABC did the same
thing; they were thankful that the Devils were wiped out by 9:30,
because they had to switch over to Yankees baseball.  The proof of 
the reasons for this is left to the reader ...

It's too bad, but I wonder if ESPN is stuck with other US local team
coverage for their alternate games?  We got NESN's coverage of the
Bruins-Sabres with the Boston homers ... they were awful!!!  I've read
that Derek Sanderson is the colour analyst ... I wonder if he spent
his early years after hockey as an intern at PRAVDA before landing
this job?  *Everything* had to be twisted into something good to say
about the Bruin(s) involved ... not even Bill Wirtz's shills on SC
Chicago (Pat Foley, Dale Tallon) were this bad.  And just to be fair,
SC used to take their feed from ESN (Empire Sports Network), the Sabre
homers and they were horrible too ... but they were spacy.

From the CNN highlights, I hear Chris Cuthbert's voice from the CBC
coverage of the Habs-Nords series.  Too bad that we couldn't get it
on ESPN, with all due respect to the Sabres and the Bruins.

Mike Emrick is substituting on the Devils SCNY team for Gary Thorne.
Mike was the original Devils TV play-by-play announcer, by the way.

gld"
sports,"
What's with you stupid dorks from the ""Western Business School""???!!! 
First there was that Cary asshole, and now you.  Don't you have anything
better to do instead of being obnoxious, antagonistic little shits over
the network???  Why don't you just take a hike, and stop embarrasing
yourself, your school, and Canada!"
sports,"
I thought the red light went on...thus, in the review, the presumption
would be to find conclusive evidence that the puck did not go in the
net...from the replays I say, even from the rear, the evidence wasn't
conclusive that the puck was in or out...in my opinion..."
sports,"
I saw a mask once that had drawings of band-aids, presumably for every puck
that goalie stopped with his face/head.  I can't remember who it was or even
if it was NHL (I see quite a few AHL games here).

This is by far the funniest mask I've seen, and for me funny=cool"
sports,"The San Jose Sharks and Ottawa Senators are each on their second GM
already...I'd be willing to wager that both the Sharks and Senators
will probably see their 3rd GM's and perhaps their 4th, before we
see the Panthers second."
